English,CEFR,gender,word,wordAudio,definition,sentenceAudio,example,sentenceTranslation,oldSentenceToBeDeleted,Duplicate?
boil,B1,verb,prokuhati,X,zagrijati tekućinu do vrenja radi sigurnosti,X,Vodu treba kratko prokuhati prije nego što je popiješ.,You should boil water briefly before drinking it.,,
"pass, walk past",A2,verb,prolaziti,X,kretati se pored nekoga ili nečega,X,Svaki dan prolazim pokraj te stare zgrade.,I pass by that old building every day.,,
passerby,B1,masculine,prolaznik,X,osoba koja prolazi pokraj nekog mjesta,X,Prolaznik mu je pokazao put do muzeja.,A passerby showed him the way to the museum.,,
spring,A1,neuter,proljeće,X,"godišnje doba koje dolazi nakon zime, a prije ljeta",X,Proljeće je lijepo.,Spring is beautiful.,,
observe,B2,verb,promatrati,X,pažljivo gledati radi saznanja ili proučavanja,X,Satima je promatrao ptice kroz dalekozor.,He watched birds through binoculars for hours.,,
traffic,B1,masculine,promet,X,kretanje ljudi i vozila po cestama,X,Jutros je promet bio spor zbog kiše.,Traffic was slow this morning because of the rain.,,
change,B1,verb,promijeniti,X,učiniti da nešto postane drugačije,X,Ponekad moramo promijeniti planove kad se stvari zakompliciraju.,Sometimes we have to change plans when things get complicated.,,
change,A2,feminine,promjena,X,"promjena stanja, oblika ili situacije",X,Svaka promjena zahtijeva malo strpljenja.,Every change requires a little patience.,,
find,B1,verb,pronaći,X,pronaći nešto što se traži,X,Uspio sam pronaći dokument tek nakon dugog pretraživanja.,I managed to find the document only after a long search.,,
propaganda,B2,feminine,propaganda,X,širenje ideja radi utjecaja na mišljenje,X,Propaganda se širila društvenim mrežama nevjerojatnom brzinom.,The propaganda spread on social media with incredible speed.,,
"estimate, calculation, budget",B2,masculine,proračun,X,procjena troškova ili prihodâ,X,Proračun za sljedeću godinu povećava izdvajanja za obrazovanje.,The budget for next year increases allocations for education.,,
"predict, prophesy",C,verb,proreći,X,izreći budući događaj unaprijed,X,Nitko nije mogao proreći političke posljedice tog događaja.,No one could have predicted the political consequences of this event.,,X
"predict, prophesy",C,verb,proricati,X,prorokovati buduće događaje,X,U tekstu proricaju ishode koji nadilaze iskustveno provjerljivo područje.,The text predicts outcomes that go beyond the empirically verifiable area.,,X
prophecy,B2,neuter,proročanstvo,X,najava budućih događaja,X,Proročanstvo u tekstu služi kao ključni simbol promjene.,The prophecy in the text serves as a key symbol of change.,,
prophet,B2,masculine,prorok,X,osoba koja naviješta budućnost,X,Prorok je upozoravao na posljedice ignoriranja znakova.,The prophet warned of the consequences of ignoring the signs.,,
December,A1,masculine,prosinac,X,dvanaesti mjesec u godini,X,Prosinac je zimski mjesec.,December is a winter month.,,
celebration,B1,feminine,proslava,X,svečano obilježavanje važnog događaja,X,U gradu je bila velika proslava.,There was a big celebration in the city.,,
celebrate,B1,verb,proslaviti,X,obilježiti poseban događaj uz veselje ili svečanost,X,Obitelj je odlučila proslaviti godišnjicu.,The family decided to celebrate the anniversary.,,
"former, previous, last",A1,adjective,prošli,X,koji je bio ranije,X,To je moj prošli stan.,That is my former apartment.,,
past,B1,feminine,prošlost,X,vrijeme koje je već prošlo,X,Prošlost nas uči kako izbjeći iste pogreške.,The past teaches us how to avoid the same mistakes.,,
space,A2,masculine,prostor,X,mjesto ili područje koje zauzima nešto,X,U ovoj školi nedostaje prostor za sport.,This school lacks space for sports.,,
"spacious, vast, roomy",B1,adjective,prostran,X,koji ima mnogo prostora,X,Stan ima prostran dnevni boravak s velikim prozorima.,The apartment has a spacious living room with large windows.,,
expanse,B2,neuter,prostranstvo,X,vrlo široko područje,X,Prostranstvo ravnice pružalo se sve do horizonta.,The vastness of the plain stretched to the horizon.,,
"enlightenment, culture",C,feminine,prosvijećenost,X,visoka razina obrazovanosti i kulture,X,Prosvijećenost se ovdje shvaća kao trajno kritičko propitivanje autoriteta.,Enlightenment is understood here as a permanent critical questioning of authority.,,
enlighten,C,verb,prosvijetliti,X,donijeti duhovno ili intelektualno svjetlo,X,Pokušao je prosvijetliti publiku bez pojednostavljivanja problema.,He tried to enlighten the audience without simplifying the problem.,,
protest,B2,masculine,prosvjed,X,javno izražavanje nezadovoljstva,X,Prosvjed je izražavao nezadovoljstvo novim mjerama.,The protest expressed dissatisfaction with the new measures.,,
protester,B2,masculine,prosvjednik,X,osoba koja sudjeluje u prosvjedu,X,Prosvjednik je zahtijevao transparentnost u odlučivanju.,The protester demanded transparency in decision-making.,,
protest,B2,verb,prosvjedovati,X,izražavati nezadovoljstvo javno,X,Građani su prosvjedovali ispred zgrade vlade.,Citizens protested in front of the government building.,,
enlightenment,C,neuter,prosvjetiteljstvo,X,pokret usmjeren širenju znanja i obrazovanja,X,Prosvjetiteljstvo je postavilo temelje modernoj kritici autoriteta.,The Enlightenment laid the foundations for the modern critique of authority.,,
protest,B1,masculine,protest,X,izražavanje neslaganja,X,Protest je okupio više stotina ljudi u centru grada.,A protest gathered several hundred people in the city center.,,
against,A2,preposition,protiv,X,u suprotnosti s nekim ili nečim,X,Navijam protiv tog tima.,I'm rooting against that team.,,
oppose,B2,expression,protiviti se,X,suprotstaviti se nečemu,X,Sve više građana počinje se protiviti prijedlogu zakona.,More and more citizens are starting to oppose the bill.,,
"opponent, competitor",B2,masculine,protivnik,X,osoba koja se suprotstavlja ili natječe,X,Njihov glavni protivnik u pregovorima zahtijevao je dodatne garancije.,Their main opponent in the negotiations demanded additional guarantees.,,
contradict,B2,verb,proturječiti,X,govoriti protiv; biti u suprotnosti,X,Protivnik mu je često proturječio na sastancima.,His opponent often contradicted him at meetings.,,
contradiction,B2,neuter,protuslovlje,X,sukob između dviju tvrdnji ili mišljenja,X,U njegovom govoru postoji očito protuslovlje.,There is an obvious contradiction in his speech.,,
study,B2,verb,proučavati,X,sustavno ispitivati nešto,X,Godinama je nastavio proučavati temu kako bi razumio njezine skrivene mehanizme.,He continued to study the topic for years to understand its hidden mechanisms.,,
study,B1,verb,proučiti,X,detaljno proučiti,X,Nakon nekoliko sati uspio sam potpuno proučiti dokument.,"After a few hours, I managed to study the document completely.",,
cause,B2,verb,prouzročiti,X,izazvati neku posljedicu ili štetu,X,Njegova pogreška prouzročila je veliku štetu.,His mistake caused great damage.,,
"spend, carry out",B1,verb,provesti,X,izvesti plan ili radnju do kraja,X,Želim provesti vikend u prirodi.,I want to spend the weekend in nature.,,
"spend, carry out",A2,verb,provoditi,X,trošiti vrijeme ili novac; provoditi aktivnosti,X,Vikend provodim s obitelji.,I spend the weekend with my family.,,
window,A1,masculine,prozor,X,otvor u zidu s okvirom i staklom,X,Prozor je otvoren jer je vruće.,The window is open because it is hot.,,
"finger, toe",A2,masculine,prst,X,dio ruke na kojemu su nokti,X,Na ruci imam pet prstiju.,I have five fingers on my hand.,,
ring,A2,masculine,prsten,X,ukrasni predmet koji se nosi na prstu,X,Prsten mu blista na ruci.,The ring sparkles on his hand.,,
"prosciutto, cured ham",A2,masculine,pršut,X,sušena i soljena svinjska šunka,X,Kupili smo pršut za večeru.,We bought prosciutto for dinner.,,
trunk,B1,masculine,prtljažnik,X,prostor u vozilu za prtljagu,X,Prtljajnik je bio pun torbi i kutija.,The trunk was full of bags and boxes.,,
"provide, offer",B2,verb,pružati,X,davati uslugu ili pomoć,X,Organizacija nastoji pružati potporu zajednici i u trenucima krize.,The organization strives to provide support to the community even in times of crisis.,,
"provide, offer",B1,verb,pružiti,X,dati uslugu ili pomoć,X,Pokušali su pružiti jasne upute svim sudionicima.,They tried to provide clear instructions to all participants.,,
first,A1,adjective,prvi,X,koji je na prvom mjestu po redu ili važnosti,X,Ovo je moj prvi bicikl.,This is my first bicycle.,,
fry,B1,verb,pržiti,X,pripremati hranu na vrućem ulju ili masnoći,X,Volim pržiti ribu na tavi.,I like frying fish in a pan.,,
wheat,B1,feminine,pšenica,X,biljka od koje se pravi brašno,X,Pšenica se sije u proljeće i žanje ljeti.,Wheat is sown in spring and harvested in summer.,,
"puppy, little dog",A1,masculine,psić,X,mali pas,X,Psić spava na krevetu.,The puppy is sleeping on the bed.,,
psychology,B1,feminine,psihologija,X,znanost o ponašanju i duševnim procesima čovjeka,X,Psihologija proučava ljudsko ponašanje i emocije.,Psychology studies human behavior and emotions.,,
psychological,B2,adjective,psihološki,X,koji se odnosi na ljudsku psihu i njezina stanja,X,Psihološki pritisak može utjecati na fizičko zdravlje.,Psychological pressure can affect physical health.,,
bird,A1,feminine,ptica,X,životinja koja leti i ima perje,X,Ptica leti na nebu.,The bird flies in the sky.,,
"nonfiction, non-fiction",C,feminine,publicistika,X,neskupna književnost temeljena na činjenicama,X,Publicistika u ovom razdoblju djeluje kao most između znanstvenog uvida i društvene intervencije.,Nonfiction in this period acts as a bridge between scientific insight and social intervention.,,
audience,A2,feminine,publika,X,skup ljudi koji prati izvedbu,X,Publika je glasno pljeskala nakon nastupa.,The audience applauded loudly after the performance.,,
publication,B2,feminine,publikacija,X,"tiskano djelo, osobito stručno ili znanstveno",X,Znanstvena publikacija objavljena je u međunarodnom časopisu.,A scientific publication was published in an international journal.,,
powder,A2,masculine,puder,X,prah koji se stavlja na kožu radi ljepote,X,Na lice stavlja puder.,She puts powder on her face.,,
pudding,A2,masculine,puding,X,slatka mliječna poslastica,X,Djeca su pojela puding od vanilije.,The kids ate vanilla pudding.,,
blow,A2,verb,puhati,X,tjerati zrak iz pluća stvaranjem struje vjetra,X,Vjetar počinje jako puhati.,The wind is starting to blow hard.,,
"full, filled",A2,adjective,pun,X,koji nije prazan; ispunjen sadržajem,X,Ormar je pun odjeće.,The wardrobe is full of clothes.,,
a lot,A1,adverb,puno,X,u velikoj količini,X,U tanjuru ima puno riže.,There is a lot of rice on the plate.,,
"smoke, blow",A2,verb,pušiti,X,udisati i izdisati dim zapaljene cigarete,X,On ne smije pušiti u školi.,He must not smoke at school.,,
"let, allow, permit",A2,verb,puštati,X,dopustiti prolaz ili radnju,X,Mama me ne želi puštati van po kiši.,My mom won't let me go out in the rain.,,
desert,B1,feminine,pustinja,X,veliko suho područje bez mnogo biljaka i vode,X,Pustinja Sahare je golema i suha.,The Sahara Desert is vast and dry.,,
"let, allow, permit",B1,verb,pustiti,X,dopustiti da se nešto dogodi,X,Morali su ga pustiti da prođe jer je imao hitan slučaj.,They had to let him pass because he had an emergency.,,
"way, time, trip",A1,masculine,put,X,putanja ili cesta kojom se ide,X,Ovo je put do škole.,This is the way to school.,,
"trajectory, orbit",B2,feminine,putanja,X,put kojim se tijelo kreće u prostoru,X,Putanja planeta oko Sunca nije savršeno kružna.,The planet’s trajectory around the Sun is not perfectly circular.,,
"by way of, via",B1,adverb,putem,X,putem; preko nečega,X,Putem smo vidjeli dvorac.,"On the way, we saw a castle.",,
"traveler, traveller, passenger",A2,masculine,putnik,X,osoba koja putuje,X,Putnik je čekao vlak na peronu.,A passenger was waiting for a train on the platform.,,
"trip, travel, journey",B1,neuter,putovanje,X,"put na drugo mjesto, najčešće radi odmora ili posla",X,Putovanje u Italiju trajalo je tjedan dana.,The trip to Italy lasted a week.,,
travel,A2,verb,putovati,X,ići iz jednog mjesta u drugo,X,Volim putovati vlakom kroz Europu.,I like traveling by train through Europe.,,
passport,A2,feminine,putovnica,X,službeni dokument za prelazak granice,X,Putovnica je u torbi.,The passport is in the bag.,,
rational,B2,adjective,racionalan,X,koji se temelji na razumu,X,U složenim analizama važno je ostati racionalan i dosljedan.,"In complex analyses, it is important to remain rational and consistent.",,
"bill, calculation, account",A1,masculine,račun,X,dokument koji prikazuje iznos koji treba platiti,X,Račun plaćam na blagajni.,I pay the bill at the cashier.,,
computer,A2,neuter,računalo,X,uređaj za obradu podataka i izvođenje programa,X,Računalo koristim za pisanje zadaće i slušanje glazbe.,I use the computer to write homework and listen to music.,,
calculate,A2,verb,računati,X,izračunati brojeve ili procijeniti nešto,X,Moram računati novac prije kupnje.,I have to count the money before buying.,,
accounting,B2,neuter,računovodstvo,X,vođenje financijskih evidencija,X,Računovodstvo u tvrtki provjerava svaku isplatu.,The company's accounting department checks every payment.,,
work,A2,masculine,rad,X,posao ili aktivnost koju netko obavlja,X,Rad u vrtu je naporan.,Work in the garden is tiring.,,
